user_id,Unable to Turn to Friends or Family,Illness,Food Insecurity,Energy Insecurity,Income,Worry About Energy Payment,Distance to Railway Access,Population Density,Uses Foodbank,Distance to Greenspace,Living Environment Score,Distance to Bus Stop,Distance to Underground Access,Worry About Housing Payment,IMD Score,Unemployed,Age,Not Working Sick or Disabled,Living On my Own With Children Under 18,Gender,Not Working (Looking After Child or House),new_loneliness_binary
2556669,0,0,1,2,2,1,531.674221,5902.179657,0,301.627075,36.927,50.06389159,3518.466318,1,8.016,0,3,0,0,0,0,0
2556960,1,0,0,0,0,1,593.8648959,18787.59912,0,723.374799,44.052,185.8766529,284.3732493,0,37.267,0,2,0,0,1,0,0
2559534,1,0,3,2,0,1,1620.083954,12499.52782,1,398.755071,28.338,4.727671414,726.0755011,1,20.805,1,2,0,0,0,0,0
1581355,0,0,0,1,0,1,525.9258355,8022.5848,0,171.044455,49.784,31.83580376,22.88397777,0,13.106,0,0,0,0,0,0,0
2562732,0,0,0,0,3,0,292.9816504,10827.98276,0,124.373837,35.599,204.5282381,1291.931758,0,14.033,0,2,0,0,0,0,0
2568049,2,0,3,1,2,1,774.862268,5344.928751,1,159.448086,20.253,158.0355119,2746.279669,1,28.028,0,1,0,0,0,1,0
2569674,1,0,2,2,3,1,477.3134229,6892.788945,0,467.796979,33.745,58.97136034,1022.102668,1,32.606,0,2,0,0,0,0,0
2580230,1,0,0,0,0,0,1730.645169,1999.530796,0,548.320685,47.623,347.2445702,432.5618582,0,27.209,0,3,0,0,0,0,0
2582942,2,0,3,2,1,0,710.9210804,10211.41644,1,1004.24317,18.701,148.1020036,2473.61674,1,36.347,0,3,0,1,0,1,0
2592060,1,0,3,2,0,1,1140.593118,15802.25952,0,247.491579,36.365,125.1129856,1118.502124,0,33.319,1,4,0,0,0,0,0
2592743,1,0,2,1,0,0,1433.670347,7665.334561,1,335.870508,33.417,243.2416989,2037.140119,1,19.27,0,2,0,0,0,1,0
2592808,1,0,0,0,2,0,906.061535,8488.616533,0,82.2520254,19.321,143.7953236,3304.714038,0,4.687,0,4,0,0,1,0,0
2594052,0,0,0,0,0,0,670.8146572,8865.754399,0,145.241501,41.369,46.04738731,3274.551303,0,32.198,0,2,0,0,1,0,0
2595533,1,0,0,0,0,0,1099.094148,6920.966754,0,126.253836,31.157,220.1199715,744.1220731,0,5.764,0,4,0,0,1,0,0
2597354,0,0,1,2,0,1,3007.458313,8326.261137,0,356.045948,15.442,107.2800204,1037.141798,1,9.01,0,3,0,0,0,0,0
2598098,0,0,1,0,0,0,1080.955781,9031.885262,0,206.584753,15.948,184.0892156,2584.595596,0,22.427,0,2,0,0,0,0,0
2598698,1,1,0,1,1,0,807.4641058,8488.616533,0,162.261613,25.654,144.0430027,4006.129301,0,9.611,0,2,1,1,0,0,1
176261,2,0,2,2,4,1,297.6630763,9923.038077,0,490.120704,45.087,119.0991107,2503.557198,1,24.483,0,2,0,0,0,0,0
179124,1,1,0,0,0,0,506.2163876,9712.612706,0,469.361742,37.337,193.6700226,2458.135341,0,23.381,0,4,1,0,0,0,0
1571539,1,0,0,0,4,1,1623.645699,9880.479106,0,85.8607323,29.731,165.6725613,3696.429003,0,15.495,0,1,0,0,1,0,0
182817,1,0,3,0,0,1,341.2240553,5783.629785,0,191.629071,34.051,144.9180139,848.8219912,1,34.104,0,0,0,0,2,0,0
2609192,1,1,0,2,0,0,1878.339117,6038.98984,0,99.7779827,29.261,288.5767321,697.4281398,1,10.826,0,2,0,0,0,1,0
115687,0,0,0,2,4,0,1101.896461,8788.313314,0,138.821673,30.666,144.5702598,2820.485869,1,34.114,0,1,0,0,0,0,0
1827054,1,0,3,2,0,1,441.1843902,8605.106347,0,402.975085,21.19,230.9041018,4769.469674,1,9.004,0,2,0,0,1,0,0
2612394,0,0,0,0,4,0,393.3623151,16309.74734,0,201.276971,26.174,112.8106303,1382.342418,0,26.303,0,2,0,0,1,0,0
1838433,0,0,0,0,4,0,796.5428197,4019.92398,0,425.046675,19.486,172.9981734,4759.961609,0,19.716,0,2,0,0,0,0,0
1850900,0,1,0,0,4,0,2779.090914,8924.693086,0,159.091602,8.763,66.68144916,614.8862521,0,39.057,0,2,0,0,0,0,0
2616820,0,0,2,2,0,1,714.0637214,12100.34106,0,1106.13497,26.954,18.33982654,465.520103,1,23.465,0,3,0,0,0,0,0
2618255,0,0,1,0,0,0,1097.941481,2182.914256,0,325.184198,19.457,109.4815391,1675.66932,0,13.521,0,2,0,0,0,0,0
216021,1,0,0,0,4,0,848.7545003,8676.588652,0,126.165243,35.437,242.8655533,1287.763849,0,19.357,0,2,0,0,0,0,0
2619012,1,0,1,0,1,0,1764.293345,5802.619249,0,346.855369,39.008,46.64448897,2572.553229,0,22.674,0,1,0,0,0,1,0
2624739,2,0,1,2,0,1,365.5909268,6095.688413,0,269.930747,24.028,70.54184131,3904.112941,1,11.051,1,4,0,0,0,0,1
2634025,0,1,1,0,2,0,235.523361,18539.87924,0,558.789634,31.657,84.18430153,945.26727,1,21.717,0,1,0,0,1,0,0
2638189,1,1,2,3,0,1,957.9507673,6651.675366,0,209.873805,23.138,48.91924035,2149.552904,1,20.952,0,0,0,0,0,0,1
236242,1,1,3,1,0,1,566.2726033,6286.731249,0,172.855748,38.304,110.0602723,2105.31189,0,12.068,0,2,0,0,0,1,1
2641139,1,0,3,2,1,0,134.5046394,6049.43411,0,243.533665,30.759,93.18783134,1505.429122,0,23.251,0,1,0,0,0,1,0
1964918,2,0,2,0,3,1,326.5916062,18240.64627,0,292.276213,31.576,30.91098204,1090.577897,1,14.584,0,4,0,0,1,0,1
238154,1,0,1,2,1,1,669.9940703,16046.72674,1,336.286523,59.744,79.85916163,1822.825171,0,18.737,0,4,0,0,2,0,0
2645177,1,1,0,0,0,1,671.2650419,14771.1909,0,176.840164,26.11,74.44727414,467.2764176,1,13.678,0,3,0,0,0,0,0
2651549,1,0,3,2,0,1,908.2898164,6968.7867,0,353.13541,16.659,133.5592071,187.0437453,1,19.767,1,2,0,0,1,0,0
1987555,1,1,3,1,0,0,1005.261585,9031.885262,1,490.548942,15.948,9.140283076,2350.403478,1,22.427,1,0,0,0,0,0,1
238210,1,1,3,2,0,1,502.8920276,14877.00236,0,391.595015,27.524,16.53765292,526.8756211,0,33.943,0,1,0,0,0,0,1
238728,0,0,0,0,3,0,788.6481922,15448.31668,0,262.147927,24.749,92.40907267,801.99873,0,31.408,0,2,0,0,0,0,0
2040948,0,1,0,0,2,0,3411.642176,5585.243623,0,409.003934,21.104,391.5486181,591.8485658,1,5.525,0,5,0,0,0,0,0
2671019,1,0,1,1,3,0,736.6130757,6793.09302,0,207.996369,26.646,133.4336027,4694.221596,0,6.07,0,1,0,0,0,1,0
2064837,1,1,0,0,0,0,902.5914707,14963.7193,1,546.802252,29.836,188.3423487,959.6992996,0,36.106,0,4,0,0,0,0,1
2671414,0,1,0,0,0,1,145.0685522,14329.53119,0,493.881082,38.683,245.4627817,909.2292065,0,18.446,0,0,0,0,0,0,1
2069280,1,0,1,2,4,0,738.2926959,3842.190432,0,291.318065,24.03,114.5949803,1257.199134,1,32.702,0,2,0,0,0,0,0
2095604,1,0,3,2,0,0,808.0260927,8657.310641,0,196.578715,31.227,91.72473991,364.1587154,1,32.149,1,3,0,1,0,0,1
2677793,2,0,3,2,0,1,263.0746113,5503.314574,0,228.723739,17.078,241.7779255,5795.120419,1,14.161,0,3,0,0,0,1,1
269266,1,0,2,2,2,1,646.6329344,14389.57353,0,36.7411627,42.707,51.3180094,553.9614378,1,35.216,0,2,0,0,0,0,0
2119978,1,0,0,0,4,1,654.9104971,6482.866534,0,340.773423,35.318,194.1491472,1684.302238,0,14.801,0,2,0,0,0,0,0
2693192,1,0,1,0,1,0,937.4158594,6460.884933,0,259.460534,37.469,178.1499426,2899.054569,0,20.602,0,2,0,0,0,0,0
2699566,0,1,2,2,0,1,1559.479051,2954.811762,1,113.315827,24.358,43.54534475,3666.839328,1,17.155,0,5,0,0,1,0,0
2699772,2,0,2,3,1,1,1222.887479,4680.851103,0,443.262858,20.281,127.0971348,9825.058499,1,20.161,0,2,0,0,1,0,0
2712692,1,0,3,2,1,1,146.8775687,19631.05917,1,52.2824198,29.454,56.55429408,275.4199397,1,23.954,0,1,0,0,1,0,1
295139,0,0,0,0,0,0,1246.422733,3110.457914,0,215.678211,12.081,78.10357046,6941.07577,0,19.015,0,2,0,0,0,1,0
2724512,2,0,3,0,0,0,359.370699,13342.86873,0,545.330655,37.09,109.7181775,2766.267701,1,26.872,0,2,0,0,0,0,1
2726548,1,0,2,2,0,1,1109.592504,7983.493777,0,240.189129,20.786,243.6562668,490.312923,0,13.132,0,5,0,0,0,0,0
317113,0,0,0,0,4,0,1074.315311,6927.039869,0,474.91961,23.738,172.7426834,1041.05437,0,5.821,0,0,0,0,0,0,0
2223728,0,0,0,0,2,0,1452.507759,2842.566739,0,389.866589,16.047,257.4023475,484.3288676,0,4.163,0,4,0,0,0,0,0
227762,0,0,0,0,4,0,630.5845744,12504.9203,0,418.216378,31.413,115.8082465,393.688472,0,27.333,0,1,0,0,0,0,0
321534,1,0,0,1,3,0,1320.479512,11498.79078,0,164.225444,29.857,193.2419965,557.1738859,0,5.093,0,0,0,0,1,0,1
322696,0,0,3,3,0,1,2461.7623,7974.540136,1,340.44818,40.547,57.43377942,405.7590352,1,31.007,0,1,0,1,0,1,0
